 r Theta rho m1 m2 m3
        6144          96          64
   200.00000000000000     
  0.111279E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.113867E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.116516E+01  0.171454E+00  0.100000E-07  0.173141E-12  0.145708E-18 -0.101297E-37
  0.119226E+01  0.171454E+00  0.100000E-07  0.167041E-12 -0.131450E-17 -0.243859E-36
  0.121999E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.124837E+01  0.171454E+00  0.100007E-07  0.623837E-12  0.348614E-16 -0.413144E-34
  0.127740E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.130711E+01  0.171454E+00  0.100006E-07  0.778610E-12  0.270721E-16 -0.591434E-30
  0.133751E+01  0.171454E+00  0.100002E-07  0.198991E-12  0.281187E-17  0.128217E-26
  0.136862E+01  0.171454E+00  0.100001E-07  0.138690E-11  0.799895E-16  0.157079E-24
  0.140045E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.143303E+01  0.171454E+00  0.100006E-07  0.155386E-11  0.906559E-16  0.577755E-26
  0.146636E+01  0.171454E+00  0.100039E-07  0.101081E-11 -0.260422E-16  0.237155E-25
  0.150046E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.153536E+01  0.171454E+00  0.100014E-07  0.226287E-11  0.570049E-15  0.128795E-24
  0.157107E+01  0.171454E+00  0.100069E-07  0.233170E-11  0.223210E-15  0.130432E-24
  0.160761E+01  0.171454E+00  0.100061E-07  0.171538E-11 -0.197247E-15  0.103543E-25
  0.164501E+01  0.171454E+00  0.100033E-07  0.854518E-12  0.126697E-15  0.000000E+00
  0.168327E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.172242E+01  0.171454E+00  0.100035E-07  0.210945E-11 -0.196737E-15  0.338608E-24
  0.176248E+01  0.171454E+00  0.100078E-07  0.148327E-11  0.307500E-15  0.872236E-25
  0.180347E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.184542E+01  0.171454E+00  0.100027E-07  0.217307E-11 -0.209658E-15  0.473642E-26
  0.188834E+01  0.171454E+00  0.100095E-07  0.165114E-11  0.154483E-16  0.207363E-26
  0.193226E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.197720E+01  0.171454E+00  0.100021E-07  0.324976E-11  0.158582E-15  0.478393E-27
  0.202319E+01  0.171454E+00  0.100179E-07  0.376603E-11  0.413603E-15  0.228374E-27
  0.207025E+01  0.171454E+00  0.100189E-07  0.258156E-11  0.173980E-15  0.169950E-28
  0.211840E+01  0.171454E+00  0.100074E-07  0.104113E-11 -0.207764E-15 -0.780041E-29
  0.216767E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.221809E+01  0.171454E+00  0.100080E-07  0.407623E-11  0.154323E-14 -0.245350E-29
  0.226968E+01  0.171454E+00  0.100260E-07  0.440414E-11  0.436252E-15 -0.119971E-29
  0.232247E+01  0.171454E+00  0.100236E-07  0.290525E-11 -0.553401E-15 -0.108819E-30
  0.237649E+01  0.171454E+00  0.100088E-07  0.118332E-11 -0.418843E-15 -0.199252E-34
  0.243176E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.248832E+01  0.171454E+00  0.100099E-07  0.409093E-11 -0.160101E-15  0.131686E-28
  0.254620E+01  0.171454E+00  0.100313E-07  0.433766E-11 -0.111128E-14  0.160907E-27
  0.260542E+01  0.171454E+00  0.100255E-07  0.237622E-11 -0.133528E-14  0.450575E-26
  0.266602E+01  0.171454E+00  0.100004E-07  0.521699E-12 -0.593528E-16  0.173793E-24
  0.272803E+01  0.171454E+00  0.100018E-07  0.461206E-11  0.208696E-14  0.249468E-23
  0.279148E+01  0.171454E+00  0.100395E-07  0.637903E-11  0.105590E-14  0.304913E-23
  0.285640E+01  0.171454E+00  0.100482E-07  0.491994E-11 -0.814757E-15  0.157357E-23
  0.292284E+01  0.171454E+00  0.100257E-07  0.227915E-11 -0.931823E-15  0.545716E-24
  0.299082E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.306038E+01  0.171454E+00  0.100111E-07  0.493473E-11 -0.947826E-16  0.348217E-23
  0.313156E+01  0.171454E+00  0.100464E-07  0.610998E-11 -0.121644E-14  0.953315E-24
  0.320440E+01  0.171454E+00  0.100446E-07  0.417816E-11 -0.132288E-14  0.723486E-25
  0.327893E+01  0.171454E+00  0.100161E-07  0.159683E-11 -0.522914E-15  0.765382E-25
  0.335520E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.343323E+01  0.171454E+00  0.100113E-07  0.497567E-11 -0.136771E-14  0.143076E-23
  0.351309E+01  0.171454E+00  0.100296E-07  0.516412E-11 -0.239234E-14  0.104445E-23
  0.359480E+01  0.171454E+00  0.100110E-07  0.419732E-11 -0.408906E-15  0.362545E-24
  0.367841E+01  0.171454E+00  0.100031E-07  0.571915E-11  0.824234E-14  0.731171E-24
  0.376396E+01  0.171454E+00  0.100350E-07  0.691284E-11  0.121596E-13  0.989809E-24
  0.385151E+01  0.171454E+00  0.100545E-07  0.569455E-11  0.751308E-14  0.676109E-24
  0.394109E+01  0.171454E+00  0.100357E-07  0.277580E-11  0.166352E-14 -0.857066E-26
  0.403275E+01  0.171454E+00  0.100034E-07  0.431434E-12  0.524159E-16 -0.361221E-24
  0.412655E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.422253E+01  0.171454E+00  0.100370E-07  0.734747E-11 -0.122431E-14  0.241709E-23
  0.432074E+01  0.171454E+00  0.100597E-07  0.698666E-11  0.966709E-15  0.526382E-24
  0.442124E+01  0.171454E+00  0.100440E-07  0.486200E-11  0.138524E-14  0.185580E-22
  0.452407E+01  0.171454E+00  0.100185E-07  0.320168E-11  0.104750E-14  0.130309E-21
  0.462929E+01  0.171454E+00  0.100077E-07  0.222432E-11  0.973879E-15  0.176190E-22
  0.473697E+01  0.171454E+00  0.100058E-07  0.144711E-11  0.383702E-15  0.863566E-29
  0.484714E+01  0.171454E+00  0.100012E-07  0.385912E-12 -0.742625E-16  0.000000E+00
  0.495988E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.507524E+01  0.171454E+00  0.100063E-07  0.166037E-11 -0.426045E-16  0.345421E-22
  0.519328E+01  0.171454E+00  0.100018E-07  0.362482E-12 -0.529036E-16  0.230702E-23
  0.531407E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.543767E+01  0.171454E+00  0.100471E-07  0.943422E-11  0.800349E-14  0.193556E-22
  0.556415E+01  0.171454E+00  0.100730E-07  0.933863E-11 -0.566068E-14  0.913339E-23
  0.569356E+01  0.171454E+00  0.100612E-07  0.737562E-11 -0.136104E-13  0.846650E-24
  0.582599E+01  0.171454E+00  0.100443E-07  0.526495E-11 -0.125567E-13  0.116338E-25
  0.596149E+01  0.171454E+00  0.100288E-07  0.304784E-11 -0.529341E-14  0.187026E-25
  0.610015E+01  0.171454E+00  0.100086E-07  0.106179E-11 -0.954335E-15  0.713054E-26
  0.624203E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.638722E+01  0.171454E+00  0.100328E-07  0.650391E-11 -0.290821E-14 -0.656109E-21
  0.653577E+01  0.171454E+00  0.100738E-07  0.718345E-11 -0.554749E-14 -0.144024E-21
  0.668779E+01  0.171454E+00  0.100631E-07  0.477855E-11 -0.484506E-14 -0.243025E-24
  0.684334E+01  0.171454E+00  0.100241E-07  0.196853E-11 -0.205577E-14  0.000000E+00
  0.700251E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.716538E+01  0.171454E+00  0.100028E-07  0.716925E-11  0.487824E-14 -0.441079E-22
  0.733204E+01  0.171454E+00  0.100652E-07  0.105304E-10  0.341608E-14 -0.416467E-22
  0.750257E+01  0.171454E+00  0.100819E-07  0.937744E-11 -0.334498E-16 -0.122930E-22
  0.767707E+01  0.171454E+00  0.100606E-07  0.697221E-11  0.844791E-15 -0.305594E-24
